Field=#~Integer~#~50|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino_Uno_V1.0.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Arduino_Uno_V1.0\Arduino_Uno_V1.0.PrjPcb|ReportField=Title~Bill of Materials For Project [Arduino_Uno_V1.0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~94|ReportField=ReportTime~1:25:21 AM|ReportField=ReportDate~6/30/2021|ReportField=ReportDateTime~6/30/2021 1:25:21 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=NotFitted~NF|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/30/2021|ReportField=CurrentTime~12:46:53 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Arduino_Uno_V1.0\Arduino_Uno_V1.0.SchDoc|ReportField=DocumentName~Arduino_Uno_V1.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/30/2021|ReportField=Organization~|ReportField=ProjectName~Arduino_Uno_V1.0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Arduino_Uno_V1.0.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Arduino_Uno_V1.0\Arduino_Uno_V1.0.PrjPcb|ReportField=PCBDataSourceFileName~Arduino_Uno_V1.0.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Arduino_Uno_V1.0\Arduino_Uno_V1.0.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series|C2012X7R1H104K085AA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X7R1H104K085AA%26seller%3DDigi-Key%26sku%3D445-7534-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X7R1H104K085AA%26seller%3DDigi-Key%26sku%3D445-7534-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C2012X7R1H104K085AA{URL.TIP}Manufacturer|19|Digi-Key|USD|19|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X7R1H104K085AA%26seller%3DDigi-Key%26sku%3D445-7534-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-7534-1-ND{URL.TIP}Supplier|5484|2.071|0.109
2|CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes|C2012X5R1C106M125AC|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1C106M125AC%26seller%3DDigi-Key%26sku%3D445-4115-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1C106M125AC%26seller%3DDigi-Key%26sku%3D445-4115-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C2012X5R1C106M125AC{URL.TIP}Manufacturer|6|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1C106M125AC%26seller%3DDigi-Key%26sku%3D445-4115-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-4115-1-ND{URL.TIP}Supplier|0||
3|CAP CER 18PF 50V C0G/NP0 0805|C0805C180J5GACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C180J5GACTU%26seller%3DDigi-Key%26sku%3D399-1112-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C180J5GACTU%26seller%3DDigi-Key%26sku%3D399-1112-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C180J5GACTU{URL.TIP}Manufacturer|4|Digi-Key|USD|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C180J5GACTU%26seller%3DDigi-Key%26sku%3D399-1112-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-1112-1-ND{URL.TIP}Supplier|3008|0.52|0.13
4|Cap Aluminum 100uF 10V 20% (5 X 5.4mm) SMD 50mA 1000 hr 85°C T/R|EEE-1AA101WR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-1AA101WR%26seller%3DDigi-Key%26sku%3DPCE3867CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-1AA101WR%26seller%3DDigi-Key%26sku%3DPCE3867CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EEE-1AA101WR{URL.TIP}Manufacturer|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-1AA101WR%26seller%3DDigi-Key%26sku%3DPCE3867CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}PCE3867CT-ND{URL.TIP}Supplier|0|0.7|0.35
5|TDK - C2012X5R1E105K125AA - SMD Multilayer Ceramic Capacitor, 1 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, C Series|C2012X5R1E105K125AA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1E105K125AA%26seller%3DDigi-Key%26sku%3D445-1419-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1E105K125AA%26seller%3DDigi-Key%26sku%3D445-1419-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C2012X5R1E105K125AA{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1E105K125AA%26seller%3DDigi-Key%26sku%3D445-1419-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-1419-1-ND{URL.TIP}Supplier|5|0.24|0.24
6|LED Uni-Color Green 572nm 2-Pin Chip 0603(1608Metric) T/R|LGL29K-G2J1-24-Z|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLGL29K-G2J1-24-Z%26seller%3DDigi-Key%26sku%3D475-2709-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Osram%20Opto{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLGL29K-G2J1-24-Z%26seller%3DDigi-Key%26sku%3D475-2709-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LGL29K-G2J1-24-Z{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLGL29K-G2J1-24-Z%26seller%3DDigi-Key%26sku%3D475-2709-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}475-2709-1-ND{URL.TIP}Supplier|649|0.47|0.47
7|OSRAM - LO L29K-H2K1-24-Z - SMARTLED 0603 ORANGE 55AC2374|LOL29K-H2K1-24-Z|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLOL29K-H2K1-24-Z%26seller%3DDigi-Key%26sku%3D475-2740-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Osram%20Opto{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLOL29K-H2K1-24-Z%26seller%3DDigi-Key%26sku%3D475-2740-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LOL29K-H2K1-24-Z{URL.TIP}Manufacturer|3|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOsram%2520Opto%26mpn%3DLOL29K-H2K1-24-Z%26seller%3DDigi-Key%26sku%3D475-2740-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}475-2740-1-ND{URL.TIP}Supplier|0||
8|Small Signal Schottky Diode, Single, 30 V, 200 Ma, 800 Mv, 600 Ma, 150 C|BAT54HT1G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor%20%2F%20Fairchild{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BAT54HT1G{URL.TIP}Manufacturer|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}BAT54HT1GOSCT-ND{URL.TIP}Supplier|16474|0.42|0.21
9|Ferrite Beads Multi-Layer Power 600Ohm 25% 100MHz 2A 100mOhm DCR 0805 T/R|MPZ2012S601AT000|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMPZ2012S601AT000%26seller%3DDigi-Key%26sku%3D445-2206-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMPZ2012S601AT000%26seller%3DDigi-Key%26sku%3D445-2206-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MPZ2012S601AT000{URL.TIP}Manufacturer|3|Digi-Key|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMPZ2012S601AT000%26seller%3DDigi-Key%26sku%3D445-2206-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-2206-1-ND{URL.TIP}Supplier|0|0.36|0.12
10|TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5|SN74AHC1G09DBVR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74AHC1G09DBVR%26seller%3DDigi-Key%26sku%3D296-29202-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74AHC1G09DBVR%26seller%3DDigi-Key%26sku%3D296-29202-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SN74AHC1G09DBVR{URL.TIP}Manufacturer|3|Digi-Key|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74AHC1G09DBVR%26seller%3DDigi-Key%26sku%3D296-29202-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-29202-1-ND{URL.TIP}Supplier|0|1.2|0.4
